Account,total_pnl,trade_count,avg_pnl,win_rate,avg_trade_size,total_fees,net_pnl
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.6,14733,145.48,33.71,3837.89,15995.32,2127387.28
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.82,3818,419.13,35.96,16159.58,7405.31,1592824.51
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.81,21192,44.36,46.76,3210.47,8596.71,931567.1
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.56,12236,68.68,40.12,34396.58,76424.64,763997.91
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.55,40184,20.81,42.82,1844.21,13352.9,822727.65
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.05,4356,155.59,48.62,9084.7,8025.99,669721.06
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.57,1590,270.03,34.59,7216.67,1551.44,427804.13
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.87,1237,336.74,48.42,2397.82,747.01,415794.87
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.41,9893,38.32,81.09,2600.78,2595.26,376500.15
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,360539.51,1424,253.19,30.34,2080.39,281.5,360258.01
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.87,7584,40.74,36.04,17098.17,40724.47,268251.4
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220519.06,2641,83.5,32.75,7852.1,4773.1,215745.96
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.59,383,520.9,23.5,5189.37,267.97,199237.63
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.0,3239,52.07,51.99,3138.89,3108.2,165549.81
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.81,13311,9.95,43.86,507.63,2218.37,130246.45
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.94,3052,41.47,28.54,3601.69,2821.96,123756.98
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.22,975,111.52,43.18,746.73,186.84,108544.38
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.88,15605,6.81,34.58,1273.2,2287.96,104014.92
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.72,8519,12.13,35.34,517.53,1230.85,102112.87
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.48,417,174.69,57.31,2066.69,189.94,72656.55
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.62,563,120.51,40.85,2979.44,548.73,67296.89
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.66,1911,34.28,33.02,6279.0,3384.88,62128.78
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.25,332,161.13,47.59,3445.47,176.27,53319.97
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.32,7280,6.58,44.27,1653.23,2729.84,45155.48
0x8477e447846c758f5a675856001ea72298fd9cb5,43917.01,14998,2.93,26.2,820.43,3792.54,40124.47
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.5,4838,4.65,43.86,22504.56,28643.17,-6154.67
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.83,534,40.75,32.21,8330.19,541.75,21217.09
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.44,1559,9.56,45.22,3748.87,780.22,14120.23
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.92,3589,4.03,32.77,4790.58,1458.66,12998.26
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.6,815,-38.29,45.52,1729.94,147.07,-31350.67
0x271b280974205ca63b716753467d5a371de622ab,-70436.19,3809,-18.49,30.19,8893.0,9280.98,-79717.17
0x8170715b3b381dffb7062c0298972d4727a0a63b,-167621.12,4601,-36.43,38.27,2204.69,1579.39,-169200.51
